کد,بسته,آیتم,اولویت,Backend_h,Frontend_h,QA_h,جمع_خام_h,سهم_بافر_15pct_h,جمع_با_بافر_h,بند_RFP
FND-01,تحلیل و طراحی,تحلیل طراحی فنی مدل داده و کارگاه تصمیمات باز,Must,32,8,8,48,7,55,21 / 20
ORD-01,منطق Order,تخصیص مستقل هر Order درصد یا مبلغ ثابت,Must,12,8,6,26,4,30,3.1
ORD-02,منطق Order,حداقل مبلغ خرید صرافی بدون عبور از موجودی,Must,14,2,10,26,4,30,3.2
ORD-03,منطق Order,ارزهای با تعداد اعشار بالا و Precision,Must,20,10,12,42,6,48,3.3
ORD-04,منطق Order,شارژ موجودی بر اساس ارزش تتری,Must,12,10,8,30,5,35,3.4
ORD-05,منطق Order,افزایش موجودی ارز بدون شبکه,Must,12,10,8,30,5,35,3.5
UX-01,داشبورد UX,موجودی کل درگیر توسل و آزاد,Must,8,8,4,20,3,23,4.1
UX-02,داشبورد UX,آمار خرید فروش ۲۴ساعته و روزانه,Must,10,10,6,26,4,30,4.2
UX-03,داشبورد UX,دسترسی مجدد به آموزش و قوانین,Should,2,6,2,10,2,12,4.3
UX-04,داشبورد UX,حذف یا اصلاح حالت Preview,Must,8,8,6,22,3,25,4.4
UX-05,داشبورد UX,فعال‌سازی خودکار پس از افزایش موجودی,Must,10,6,8,24,4,28,4.5
SIG-01,Signal و Target,نمایش خرید همان Signal نه مجموع,Must,8,6,4,18,3,21,5.1
SIG-02,Signal و Target,اعتبارسنجی Sell Order در برابر سقف خرید,Must,6,4,4,14,2,16,5.2
SIG-03,Signal و Target,نمایش Target اول فروش در لیست ادمین,Should,4,4,2,10,2,12,5.3
SIG-04,Signal و Target,اصلاح Quick Edit از جمله ADA,Must,6,6,6,18,3,21,5.4
SIG-05,Signal و Target,رنگ‌بندی سطر Signal و شمارنده سبز زرد قرمز,Must,6,10,4,20,3,23,5.5
REF-01,رفرال,متن رفرال ۸ درصد سود مجموعه,Should,1,3,1,5,1,6,6.1
REF-02,رفرال,متن Share با کد من وارد بشو,Should,1,2,1,4,1,5,6.2
FEE-01,کارمزد,کارمزد برداشت مستقل توسل و حداقل قابل برداشت,Must,10,8,6,24,4,28,7.1 / 13
FEE-02,کارمزد,نمایش ارزش خرید و ارزش فعلی,Must,8,8,4,20,3,23,7.2
FEE-03,کارمزد,کارمزد Order یا Reinvest قبل از خرید,Must,16,8,12,36,5,41,7.3
FEE-04,کارمزد,پیش‌نمایش کارمزدهای لغو کاربر,Must,12,10,8,30,5,35,7.4
ADM-01,گزارش ادمین,آمار KPI کارمزد حجم میانگین قیمت,Must,20,16,8,44,7,51,8.1
ADM-02,گزارش ادمین,فیلتر ربات خاموش و Reinvest,Must,8,10,6,24,4,28,8.2
ADM-03,گزارش ادمین,خروجی Excel همه بخش‌های توسل,Must,20,10,8,38,6,44,8.3
ADM-04,گزارش ادمین,تراکنش داخلی اکانت اصلی و توسل,Must,14,8,8,30,5,35,8.4
UCAN-01,لغو کاربر,شرط Threshold سود روی هر Order,Must,16,8,12,36,5,41,9.1
UCAN-02,لغو کاربر,لغو جزئی بدون بستن کل سرمایه,Must,20,14,14,48,7,55,9.2
UCAN-03,لغو کاربر,صفحه تأیید با سود کارمزد و باقی‌مانده,Must,10,14,8,32,5,37,9.3
ACAN-01,لغو ادمین,فیلتر ارز کاربر Target,Must,12,14,8,34,5,39,10.1
ACAN-02,لغو ادمین,دو حالت فقط بستن یا تبدیل به USDT,Must,20,8,12,40,6,46,10.2
ACAN-03,لغو ادمین,حداقل سود موردنیاز ادمین,Must,10,6,8,24,4,28,10.3
ACAN-04,لغو ادمین,توضیحات اختیاری و تأیید نهایی,Must,6,10,4,20,3,23,10.4
ACAN-05,لغو ادمین,فروش Market و تجمیع زیر حداقل,Must,32,6,16,54,8,62,11
ACAN-06,لغو ادمین,گزارش پیش و پس از اجرا,Must,16,14,8,38,6,44,11.1
EMG-01,عملیات,کنترل اضطراری کل یا یک یا چند ارز,Must,12,10,8,30,5,35,12
SET-01,عملیات,تنظیمات پنل ادمین,Must,10,10,6,26,4,30,13
BNK-01,عملیات,مقایسه سود کاربر با سود بانک,Should,12,16,8,36,5,41,14
AUD-01,عملیات,Audit Log عملیات حساس,Must,20,14,8,42,6,48,15
SPT-01,Spot بات,تأمین معادل ارز خریداری‌شده در صرافی,Must,12,0,10,22,3,25,16.1
SPT-02,Spot بات,جلوگیری از پر شدن اردربوک ارز جدید,Must,16,2,10,28,4,32,16.2
DEL-01,تحویل,Regression کامل مسیرهای فاز ۱ و ۲,Must,8,4,32,44,7,51,18 / 19
DEL-02,تحویل,Staging استقرار Rollback مستندات,Must,16,4,12,32,5,37,20
TOTAL,جمع,جمع خام و بافر ۱۵ درصد روی کل نه جمع ردیف‌های گردشده,,528,353,344,1225,184,1409,
